username,qualification,skills,technical_job_role,non_technical_job_role
user1490,M.Tech,Technical Skill 7,Technical Job Role 3760,Non-Technical Field 306
user1491,12th Pass,Technical Skill 883,Technical Job Role 6557,Non-Technical Field 283
user1492,B.Tech,Technical Skill 26,Technical Job Role 8245,Non-Technical Field 962
user1493,M.Tech,Technical Skill 210,Technical Job Role 4965,Non-Technical Field 310
user1494,10th Pass,Technical Skill 552,Technical Job Role 341,Non-Technical Field 930
user1495,B.Tech,Technical Skill 85,Technical Job Role 1674,Non-Technical Field 667
user1496,12th Pass,Technical Skill 788,Technical Job Role 818,Non-Technical Field 831
user1497,12th Pass,Technical Skill 223,Technical Job Role 2659,Non-Technical Field 918
user1498,B.Tech,Technical Skill 139,Technical Job Role 4911,Non-Technical Field 978
user1499,12th Pass,Technical Skill 411,Technical Job Role 7056,Non-Technical Field 986
user1500,B.Tech,Technical Skill 660,Technical Job Role 460,Non-Technical Field 536
user1501,B.Tech,Technical Skill 13,Technical Job Role 1568,Non-Technical Field 378
user1502,10th Pass,Technical Skill 545,Technical Job Role 2557,Non-Technical Field 612
user1503,12th Pass,Technical Skill 492,Technical Job Role 2654,Non-Technical Field 614
user1504,12th Pass,Technical Skill 419,Technical Job Role 6774,Non-Technical Field 70
user1505,M.Tech,Technical Skill 599,Technical Job Role 1375,Non-Technical Field 694
user1506,M.Tech,Technical Skill 279,Technical Job Role 5249,Non-Technical Field 416
user1507,M.Tech,Technical Skill 403,Technical Job Role 4249,Non-Technical Field 327
user1508,B.Tech,Technical Skill 166,Technical Job Role 3697,Non-Technical Field 390
user1509,12th Pass,Technical Skill 235,Technical Job Role 6277,Non-Technical Field 166
user1510,M.Tech,Technical Skill 224,Technical Job Role 9633,Non-Technical Field 334
user1511,10th Pass,Technical Skill 881,Technical Job Role 1575,Non-Technical Field 425
user1512,12th Pass,Technical Skill 607,Technical Job Role 5944,Non-Technical Field 801
user1513,B.Tech,Technical Skill 63,Technical Job Role 9028,Non-Technical Field 532
user1514,M.Tech,Technical Skill 18,Technical Job Role 612,Non-Technical Field 426
user1515,12th Pass,Technical Skill 331,Technical Job Role 5487,Non-Technical Field 611
user1516,10th Pass,Technical Skill 786,Technical Job Role 4648,Non-Technical Field 557
user1517,10th Pass,Technical Skill 633,Technical Job Role 3541,Non-Technical Field 514
user1518,12th Pass,Technical Skill 285,Technical Job Role 8197,Non-Technical Field 707
user1519,B.Tech,Technical Skill 824,Technical Job Role 5454,Non-Technical Field 821
user1520,12th Pass,Technical Skill 587,Technical Job Role 8574,Non-Technical Field 314
user1521,12th Pass,Technical Skill 828,Technical Job Role 3660,Non-Technical Field 26
user1522,B.Tech,Technical Skill 336,Technical Job Role 7140,Non-Technical Field 904
user1523,10th Pass,Technical Skill 81,Technical Job Role 8469,Non-Technical Field 686
user1524,12th Pass,Technical Skill 59,Technical Job Role 3655,Non-Technical Field 552
user1525,10th Pass,Technical Skill 288,Technical Job Role 9376,Non-Technical Field 769
user1526,12th Pass,Technical Skill 599,Technical Job Role 9371,Non-Technical Field 427
user1527,12th Pass,Technical Skill 56,Technical Job Role 9877,Non-Technical Field 264
user1528,B.Tech,Technical Skill 218,Technical Job Role 7332,Non-Technical Field 901
user1529,B.Tech,Technical Skill 944,Technical Job Role 5686,Non-Technical Field 497
user1530,12th Pass,Technical Skill 738,Technical Job Role 9658,Non-Technical Field 394
user1531,12th Pass,Technical Skill 538,Technical Job Role 351,Non-Technical Field 371
user1532,12th Pass,Technical Skill 988,Technical Job Role 7735,Non-Technical Field 173
user1533,M.Tech,Technical Skill 478,Technical Job Role 4736,Non-Technical Field 84
user1534,B.Tech,Technical Skill 147,Technical Job Role 3845,Non-Technical Field 704
user1535,12th Pass,Technical Skill 863,Technical Job Role 5560,Non-Technical Field 945
user1536,12th Pass,Technical Skill 531,Technical Job Role 5655,Non-Technical Field 159
user1537,12th Pass,Technical Skill 459,Technical Job Role 9524,Non-Technical Field 183
user1538,10th Pass,Technical Skill 920,Technical Job Role 1687,Non-Technical Field 365
user1539,10th Pass,Technical Skill 772,Technical Job Role 6300,Non-Technical Field 863
user1540,10th Pass,Technical Skill 337,Technical Job Role 3505,Non-Technical Field 784
user1541,12th Pass,Technical Skill 113,Technical Job Role 7497,Non-Technical Field 47
user1542,M.Tech,Technical Skill 630,Technical Job Role 9514,Non-Technical Field 110
user1543,12th Pass,Technical Skill 413,Technical Job Role 4884,Non-Technical Field 566
user1544,10th Pass,Technical Skill 333,Technical Job Role 5343,Non-Technical Field 862
user1545,12th Pass,Technical Skill 542,Technical Job Role 7312,Non-Technical Field 11
user1546,M.Tech,Technical Skill 418,Technical Job Role 3528,Non-Technical Field 767
user1547,10th Pass,Technical Skill 874,Technical Job Role 6565,Non-Technical Field 998
user1548,M.Tech,Technical Skill 780,Technical Job Role 8542,Non-Technical Field 734
user1549,12th Pass,Technical Skill 365,Technical Job Role 1124,Non-Technical Field 842
user1550,M.Tech,Technical Skill 450,Technical Job Role 6130,Non-Technical Field 950
user1551,12th Pass,Technical Skill 491,Technical Job Role 2136,Non-Technical Field 226
user1552,M.Tech,Technical Skill 660,Technical Job Role 2274,Non-Technical Field 817
user1553,M.Tech,Technical Skill 790,Technical Job Role 3229,Non-Technical Field 745
user1554,M.Tech,Technical Skill 325,Technical Job Role 4836,Non-Technical Field 699
user1555,M.Tech,Technical Skill 747,Technical Job Role 2490,Non-Technical Field 99
user1556,12th Pass,Technical Skill 603,Technical Job Role 2348,Non-Technical Field 182
user1557,M.Tech,Technical Skill 413,Technical Job Role 947,Non-Technical Field 477
user1558,10th Pass,Technical Skill 130,Technical Job Role 7491,Non-Technical Field 802
user1559,M.Tech,Technical Skill 31,Technical Job Role 7842,Non-Technical Field 634
user1560,B.Tech,Technical Skill 188,Technical Job Role 114,Non-Technical Field 940
user1561,B.Tech,Technical Skill 400,Technical Job Role 8949,Non-Technical Field 375
user1562,M.Tech,Technical Skill 452,Technical Job Role 6782,Non-Technical Field 626
user1563,B.Tech,Technical Skill 71,Technical Job Role 4949,Non-Technical Field 108
user1564,10th Pass,Technical Skill 956,Technical Job Role 3376,Non-Technical Field 506
user1565,M.Tech,Technical Skill 627,Technical Job Role 813,Non-Technical Field 48
user1566,B.Tech,Technical Skill 177,Technical Job Role 6635,Non-Technical Field 155
user1567,M.Tech,Technical Skill 810,Technical Job Role 5020,Non-Technical Field 543
user1568,M.Tech,Technical Skill 306,Technical Job Role 2781,Non-Technical Field 26
user1569,M.Tech,Technical Skill 249,Technical Job Role 6206,Non-Technical Field 507
user1570,B.Tech,Technical Skill 980,Technical Job Role 1453,Non-Technical Field 49
user1571,12th Pass,Technical Skill 365,Technical Job Role 5971,Non-Technical Field 169
user1572,10th Pass,Technical Skill 805,Technical Job Role 411,Non-Technical Field 829
user1573,12th Pass,Technical Skill 582,Technical Job Role 2696,Non-Technical Field 560
user1574,M.Tech,Technical Skill 866,Technical Job Role 280,Non-Technical Field 900
user1575,B.Tech,Technical Skill 511,Technical Job Role 7991,Non-Technical Field 665
user1576,B.Tech,Technical Skill 995,Technical Job Role 1454,Non-Technical Field 974
user1577,12th Pass,Technical Skill 99,Technical Job Role 6571,Non-Technical Field 915
user1578,10th Pass,Technical Skill 440,Technical Job Role 399,Non-Technical Field 488
user1579,B.Tech,Technical Skill 779,Technical Job Role 4757,Non-Technical Field 789
user1580,M.Tech,Technical Skill 734,Technical Job Role 5420,Non-Technical Field 330
user1581,B.Tech,Technical Skill 959,Technical Job Role 5407,Non-Technical Field 517
user1582,10th Pass,Technical Skill 722,Technical Job Role 2332,Non-Technical Field 229
user1583,M.Tech,Technical Skill 401,Technical Job Role 1125,Non-Technical Field 788
user1584,B.Tech,Technical Skill 9,Technical Job Role 9334,Non-Technical Field 677
user1585,10th Pass,Technical Skill 32,Technical Job Role 8354,Non-Technical Field 795
user1586,M.Tech,Technical Skill 17,Technical Job Role 2599,Non-Technical Field 65
user1587,10th Pass,Technical Skill 467,Technical Job Role 8852,Non-Technical Field 674
user1588,M.Tech,Technical Skill 447,Technical Job Role 3066,Non-Technical Field 883
user1589,B.Tech,Technical Skill 364,Technical Job Role 2844,Non-Technical Field 729
user1590,12th Pass,Technical Skill 583,Technical Job Role 4516,Non-Technical Field 597
user1591,M.Tech,Technical Skill 131,Technical Job Role 7691,Non-Technical Field 415
user1592,12th Pass,Technical Skill 599,Technical Job Role 7611,Non-Technical Field 479
user1593,12th Pass,Technical Skill 494,Technical Job Role 3142,Non-Technical Field 298
user1594,M.Tech,Technical Skill 245,Technical Job Role 1778,Non-Technical Field 564
user1595,12th Pass,Technical Skill 918,Technical Job Role 3821,Non-Technical Field 976
user1596,10th Pass,Technical Skill 780,Technical Job Role 3776,Non-Technical Field 525
user1597,12th Pass,Technical Skill 962,Technical Job Role 4306,Non-Technical Field 637
user1598,B.Tech,Technical Skill 813,Technical Job Role 1183,Non-Technical Field 227
user1599,M.Tech,Technical Skill 256,Technical Job Role 8207,Non-Technical Field 653
user1600,B.Tech,Technical Skill 237,Technical Job Role 777,Non-Technical Field 75
user1601,12th Pass,Technical Skill 32,Technical Job Role 8937,Non-Technical Field 112
user1602,12th Pass,Technical Skill 420,Technical Job Role 4625,Non-Technical Field 117
user1603,10th Pass,Technical Skill 695,Technical Job Role 1730,Non-Technical Field 973
user1604,M.Tech,Technical Skill 358,Technical Job Role 544,Non-Technical Field 618
user1605,12th Pass,Technical Skill 741,Technical Job Role 9497,Non-Technical Field 622
user1606,12th Pass,Technical Skill 223,Technical Job Role 1225,Non-Technical Field 587
user1607,M.Tech,Technical Skill 900,Technical Job Role 228,Non-Technical Field 930
user1608,10th Pass,Technical Skill 616,Technical Job Role 8022,Non-Technical Field 47
user1609,12th Pass,Technical Skill 127,Technical Job Role 8211,Non-Technical Field 351
user1610,B.Tech,Technical Skill 896,Technical Job Role 3038,Non-Technical Field 475
user1611,12th Pass,Technical Skill 854,Technical Job Role 4303,Non-Technical Field 752
user1612,10th Pass,Technical Skill 342,Technical Job Role 4142,Non-Technical Field 864
user1613,M.Tech,Technical Skill 342,Technical Job Role 5913,Non-Technical Field 318
user1614,10th Pass,Technical Skill 803,Technical Job Role 413,Non-Technical Field 935
user1615,M.Tech,Technical Skill 591,Technical Job Role 6669,Non-Technical Field 59
user1616,B.Tech,Technical Skill 599,Technical Job Role 3402,Non-Technical Field 453
user1617,10th Pass,Technical Skill 493,Technical Job Role 5581,Non-Technical Field 82
user1618,B.Tech,Technical Skill 874,Technical Job Role 2296,Non-Technical Field 50
user1619,B.Tech,Technical Skill 819,Technical Job Role 9218,Non-Technical Field 424
user1620,10th Pass,Technical Skill 329,Technical Job Role 486,Non-Technical Field 667
user1621,12th Pass,Technical Skill 546,Technical Job Role 3533,Non-Technical Field 387
user1622,10th Pass,Technical Skill 755,Technical Job Role 9042,Non-Technical Field 708
user1623,10th Pass,Technical Skill 63,Technical Job Role 2804,Non-Technical Field 662
user1624,12th Pass,Technical Skill 631,Technical Job Role 3080,Non-Technical Field 315
user1625,B.Tech,Technical Skill 447,Technical Job Role 9634,Non-Technical Field 989
user1626,M.Tech,Technical Skill 43,Technical Job Role 274,Non-Technical Field 396
user1627,12th Pass,Technical Skill 958,Technical Job Role 5870,Non-Technical Field 447
user1628,M.Tech,Technical Skill 669,Technical Job Role 4424,Non-Technical Field 641
user1629,M.Tech,Technical Skill 282,Technical Job Role 592,Non-Technical Field 851
user1630,12th Pass,Technical Skill 857,Technical Job Role 2934,Non-Technical Field 253
user1631,10th Pass,Technical Skill 100,Technical Job Role 6763,Non-Technical Field 1000
user1632,M.Tech,Technical Skill 558,Technical Job Role 3793,Non-Technical Field 996
user1633,M.Tech,Technical Skill 929,Technical Job Role 9601,Non-Technical Field 874
user1634,B.Tech,Technical Skill 355,Technical Job Role 4741,Non-Technical Field 374
user1635,M.Tech,Technical Skill 190,Technical Job Role 6456,Non-Technical Field 637
user1636,M.Tech,Technical Skill 986,Technical Job Role 1615,Non-Technical Field 280
user1637,10th Pass,Technical Skill 921,Technical Job Role 1083,Non-Technical Field 937
user1638,10th Pass,Technical Skill 3,Technical Job Role 626,Non-Technical Field 496
user1639,M.Tech,Technical Skill 988,Technical Job Role 4781,Non-Technical Field 377
user1640,12th Pass,Technical Skill 756,Technical Job Role 3140,Non-Technical Field 289
user1641,10th Pass,Technical Skill 503,Technical Job Role 4444,Non-Technical Field 233
user1642,10th Pass,Technical Skill 19,Technical Job Role 4688,Non-Technical Field 392
user1643,M.Tech,Technical Skill 337,Technical Job Role 9065,Non-Technical Field 313
user1644,10th Pass,Technical Skill 156,Technical Job Role 5864,Non-Technical Field 474
user1645,10th Pass,Technical Skill 591,Technical Job Role 8583,Non-Technical Field 515
user1646,10th Pass,Technical Skill 926,Technical Job Role 3373,Non-Technical Field 391
user1647,10th Pass,Technical Skill 820,Technical Job Role 4236,Non-Technical Field 90
user1648,B.Tech,Technical Skill 897,Technical Job Role 189,Non-Technical Field 745
user1649,B.Tech,Technical Skill 99,Technical Job Role 2793,Non-Technical Field 321
user1650,M.Tech,Technical Skill 691,Technical Job Role 6975,Non-Technical Field 42
user1651,B.Tech,Technical Skill 997,Technical Job Role 9168,Non-Technical Field 907
user1652,12th Pass,Technical Skill 441,Technical Job Role 8200,Non-Technical Field 580
user1653,M.Tech,Technical Skill 523,Technical Job Role 2551,Non-Technical Field 538
user1654,B.Tech,Technical Skill 372,Technical Job Role 2398,Non-Technical Field 854
user1655,10th Pass,Technical Skill 517,Technical Job Role 1961,Non-Technical Field 743
user1656,M.Tech,Technical Skill 428,Technical Job Role 3182,Non-Technical Field 869
user1657,M.Tech,Technical Skill 411,Technical Job Role 2140,Non-Technical Field 28
user1658,10th Pass,Technical Skill 10,Technical Job Role 1362,Non-Technical Field 534
user1659,B.Tech,Technical Skill 30,Technical Job Role 6238,Non-Technical Field 78
user1660,M.Tech,Technical Skill 670,Technical Job Role 5534,Non-Technical Field 265
user1661,B.Tech,Technical Skill 426,Technical Job Role 736,Non-Technical Field 900
user1662,B.Tech,Technical Skill 290,Technical Job Role 8981,Non-Technical Field 477
user1663,M.Tech,Technical Skill 339,Technical Job Role 5157,Non-Technical Field 348
user1664,M.Tech,Technical Skill 822,Technical Job Role 1073,Non-Technical Field 321
user1665,M.Tech,Technical Skill 122,Technical Job Role 4710,Non-Technical Field 955
user1666,12th Pass,Technical Skill 379,Technical Job Role 1356,Non-Technical Field 89
user1667,10th Pass,Technical Skill 275,Technical Job Role 5075,Non-Technical Field 636
user1668,M.Tech,Technical Skill 428,Technical Job Role 3865,Non-Technical Field 598
user1669,B.Tech,Technical Skill 278,Technical Job Role 5526,Non-Technical Field 116
user1670,M.Tech,Technical Skill 563,Technical Job Role 4569,Non-Technical Field 308
user1671,10th Pass,Technical Skill 948,Technical Job Role 2779,Non-Technical Field 942
user1672,12th Pass,Technical Skill 137,Technical Job Role 4466,Non-Technical Field 25
user1673,12th Pass,Technical Skill 724,Technical Job Role 6018,Non-Technical Field 146
user1674,10th Pass,Technical Skill 766,Technical Job Role 204,Non-Technical Field 839
user1675,M.Tech,Technical Skill 413,Technical Job Role 2994,Non-Technical Field 397
user1676,10th Pass,Technical Skill 206,Technical Job Role 3168,Non-Technical Field 172
user1677,B.Tech,Technical Skill 284,Technical Job Role 4122,Non-Technical Field 90
user1678,B.Tech,Technical Skill 537,Technical Job Role 6891,Non-Technical Field 769
user1679,M.Tech,Technical Skill 218,Technical Job Role 8509,Non-Technical Field 580
user1680,M.Tech,Technical Skill 353,Technical Job Role 3973,Non-Technical Field 224
user1681,M.Tech,Technical Skill 570,Technical Job Role 5069,Non-Technical Field 30
user1682,12th Pass,Technical Skill 481,Technical Job Role 1635,Non-Technical Field 210
user1683,10th Pass,Technical Skill 967,Technical Job Role 3852,Non-Technical Field 216
user1684,B.Tech,Technical Skill 747,Technical Job Role 5571,Non-Technical Field 745
user1685,10th Pass,Technical Skill 438,Technical Job Role 9252,Non-Technical Field 946
user1686,10th Pass,Technical Skill 399,Technical Job Role 1403,Non-Technical Field 12
user1687,B.Tech,Technical Skill 182,Technical Job Role 7686,Non-Technical Field 468
user1688,B.Tech,Technical Skill 236,Technical Job Role 6563,Non-Technical Field 911
user1689,M.Tech,Technical Skill 248,Technical Job Role 6904,Non-Technical Field 754
user1690,10th Pass,Technical Skill 789,Technical Job Role 7473,Non-Technical Field 633
user1691,M.Tech,Technical Skill 887,Technical Job Role 348,Non-Technical Field 656
user1692,M.Tech,Technical Skill 618,Technical Job Role 3577,Non-Technical Field 942
user1693,10th Pass,Technical Skill 398,Technical Job Role 1386,Non-Technical Field 900
user1694,10th Pass,Technical Skill 930,Technical Job Role 7758,Non-Technical Field 692
user1695,10th Pass,Technical Skill 339,Technical Job Role 2911,Non-Technical Field 970
user1696,10th Pass,Technical Skill 825,Technical Job Role 2661,Non-Technical Field 40
user1697,B.Tech,Technical Skill 261,Technical Job Role 2339,Non-Technical Field 98
user1698,B.Tech,Technical Skill 616,Technical Job Role 6184,Non-Technical Field 957
user1699,12th Pass,Technical Skill 593,Technical Job Role 928,Non-Technical Field 364
user1700,12th Pass,Technical Skill 767,Technical Job Role 2771,Non-Technical Field 379
user1701,12th Pass,Technical Skill 407,Technical Job Role 3692,Non-Technical Field 234
user1702,12th Pass,Technical Skill 649,Technical Job Role 2468,Non-Technical Field 371
user1703,10th Pass,Technical Skill 810,Technical Job Role 6564,Non-Technical Field 817
user1704,M.Tech,Technical Skill 744,Technical Job Role 634,Non-Technical Field 649
user1705,10th Pass,Technical Skill 832,Technical Job Role 7830,Non-Technical Field 289
user1706,10th Pass,Technical Skill 212,Technical Job Role 5985,Non-Technical Field 103
user1707,12th Pass,Technical Skill 14,Technical Job Role 6391,Non-Technical Field 295
user1708,10th Pass,Technical Skill 603,Technical Job Role 9402,Non-Technical Field 187
user1709,10th Pass,Technical Skill 296,Technical Job Role 3162,Non-Technical Field 111
user1710,12th Pass,Technical Skill 284,Technical Job Role 5284,Non-Technical Field 379
user1711,B.Tech,Technical Skill 790,Technical Job Role 337,Non-Technical Field 825
user1712,B.Tech,Technical Skill 942,Technical Job Role 4629,Non-Technical Field 373
user1713,M.Tech,Technical Skill 916,Technical Job Role 3360,Non-Technical Field 106
user1714,10th Pass,Technical Skill 820,Technical Job Role 1192,Non-Technical Field 487
user1715,B.Tech,Technical Skill 339,Technical Job Role 4589,Non-Technical Field 10
user1716,B.Tech,Technical Skill 731,Technical Job Role 645,Non-Technical Field 254
user1717,10th Pass,Technical Skill 309,Technical Job Role 7193,Non-Technical Field 910
user1718,12th Pass,Technical Skill 690,Technical Job Role 3198,Non-Technical Field 443
user1719,B.Tech,Technical Skill 666,Technical Job Role 7269,Non-Technical Field 511
user1720,B.Tech,Technical Skill 962,Technical Job Role 9420,Non-Technical Field 307
user1721,B.Tech,Technical Skill 361,Technical Job Role 9257,Non-Technical Field 893
user1722,10th Pass,Technical Skill 645,Technical Job Role 4285,Non-Technical Field 415
user1723,B.Tech,Technical Skill 413,Technical Job Role 8033,Non-Technical Field 714
user1724,M.Tech,Technical Skill 774,Technical Job Role 9660,Non-Technical Field 477
user1725,M.Tech,Technical Skill 96,Technical Job Role 1258,Non-Technical Field 973
user1726,B.Tech,Technical Skill 320,Technical Job Role 1475,Non-Technical Field 868
user1727,12th Pass,Technical Skill 828,Technical Job Role 1077,Non-Technical Field 420
user1728,M.Tech,Technical Skill 94,Technical Job Role 7366,Non-Technical Field 771
user1729,B.Tech,Technical Skill 524,Technical Job Role 5211,Non-Technical Field 362
user1730,12th Pass,Technical Skill 281,Technical Job Role 662,Non-Technical Field 463
user1731,10th Pass,Technical Skill 296,Technical Job Role 5737,Non-Technical Field 80
user1732,12th Pass,Technical Skill 696,Technical Job Role 4994,Non-Technical Field 111
user1733,M.Tech,Technical Skill 208,Technical Job Role 9827,Non-Technical Field 803
user1734,10th Pass,Technical Skill 971,Technical Job Role 600,Non-Technical Field 336
user1735,10th Pass,Technical Skill 846,Technical Job Role 3612,Non-Technical Field 324
user1736,M.Tech,Technical Skill 242,Technical Job Role 9550,Non-Technical Field 467
user1737,M.Tech,Technical Skill 652,Technical Job Role 6361,Non-Technical Field 514
user1738,B.Tech,Technical Skill 42,Technical Job Role 351,Non-Technical Field 124
user1739,B.Tech,Technical Skill 591,Technical Job Role 4482,Non-Technical Field 387
user1740,12th Pass,Technical Skill 920,Technical Job Role 3990,Non-Technical Field 295
user1741,M.Tech,Technical Skill 135,Technical Job Role 160,Non-Technical Field 608
user1742,M.Tech,Technical Skill 318,Technical Job Role 2961,Non-Technical Field 250
user1743,10th Pass,Technical Skill 286,Technical Job Role 5090,Non-Technical Field 612
user1744,M.Tech,Technical Skill 231,Technical Job Role 7295,Non-Technical Field 496
user1745,M.Tech,Technical Skill 10,Technical Job Role 853,Non-Technical Field 732
user1746,B.Tech,Technical Skill 880,Technical Job Role 4421,Non-Technical Field 200
user1747,10th Pass,Technical Skill 886,Technical Job Role 6239,Non-Technical Field 627
user1748,B.Tech,Technical Skill 594,Technical Job Role 8798,Non-Technical Field 970
user1749,12th Pass,Technical Skill 634,Technical Job Role 2346,Non-Technical Field 564
user1750,M.Tech,Technical Skill 892,Technical Job Role 3754,Non-Technical Field 223
user1751,12th Pass,Technical Skill 134,Technical Job Role 7971,Non-Technical Field 439
user1752,M.Tech,Technical Skill 393,Technical Job Role 8254,Non-Technical Field 999
user1753,12th Pass,Technical Skill 419,Technical Job Role 1673,Non-Technical Field 693
user1754,12th Pass,Technical Skill 778,Technical Job Role 1585,Non-Technical Field 162
user1755,B.Tech,Technical Skill 904,Technical Job Role 1543,Non-Technical Field 521
user1756,10th Pass,Technical Skill 692,Technical Job Role 4440,Non-Technical Field 689
user1757,12th Pass,Technical Skill 794,Technical Job Role 2127,Non-Technical Field 873
user1758,B.Tech,Technical Skill 578,Technical Job Role 2050,Non-Technical Field 46
user1759,M.Tech,Technical Skill 96,Technical Job Role 6004,Non-Technical Field 435
user1760,B.Tech,Technical Skill 714,Technical Job Role 9471,Non-Technical Field 671
user1761,12th Pass,Technical Skill 450,Technical Job Role 264,Non-Technical Field 503
user1762,10th Pass,Technical Skill 785,Technical Job Role 3120,Non-Technical Field 145
user1763,B.Tech,Technical Skill 407,Technical Job Role 2099,Non-Technical Field 673
user1764,12th Pass,Technical Skill 506,Technical Job Role 4079,Non-Technical Field 308
user1765,10th Pass,Technical Skill 487,Technical Job Role 2662,Non-Technical Field 370
user1766,10th Pass,Technical Skill 728,Technical Job Role 3525,Non-Technical Field 35
user1767,M.Tech,Technical Skill 974,Technical Job Role 7615,Non-Technical Field 735
user1768,10th Pass,Technical Skill 46,Technical Job Role 2659,Non-Technical Field 767
user1769,10th Pass,Technical Skill 730,Technical Job Role 4225,Non-Technical Field 957
user1770,12th Pass,Technical Skill 934,Technical Job Role 4219,Non-Technical Field 294
user1771,12th Pass,Technical Skill 535,Technical Job Role 4810,Non-Technical Field 857
user1772,10th Pass,Technical Skill 316,Technical Job Role 5226,Non-Technical Field 240
user1773,M.Tech,Technical Skill 240,Technical Job Role 5912,Non-Technical Field 620
user1774,10th Pass,Technical Skill 618,Technical Job Role 8185,Non-Technical Field 932
user1775,12th Pass,Technical Skill 731,Technical Job Role 6184,Non-Technical Field 195
user1776,12th Pass,Technical Skill 711,Technical Job Role 5104,Non-Technical Field 610
user1777,12th Pass,Technical Skill 390,Technical Job Role 5673,Non-Technical Field 844
user1778,B.Tech,Technical Skill 407,Technical Job Role 2064,Non-Technical Field 539
user1779,12th Pass,Technical Skill 718,Technical Job Role 5388,Non-Technical Field 251
user1780,B.Tech,Technical Skill 364,Technical Job Role 4290,Non-Technical Field 776
user1781,12th Pass,Technical Skill 498,Technical Job Role 8636,Non-Technical Field 94
user1782,B.Tech,Technical Skill 14,Technical Job Role 1591,Non-Technical Field 190
user1783,B.Tech,Technical Skill 888,Technical Job Role 5541,Non-Technical Field 279
user1784,12th Pass,Technical Skill 786,Technical Job Role 8914,Non-Technical Field 750
user1785,B.Tech,Technical Skill 594,Technical Job Role 6690,Non-Technical Field 898
user1786,B.Tech,Technical Skill 627,Technical Job Role 7134,Non-Technical Field 110
user1787,12th Pass,Technical Skill 82,Technical Job Role 3488,Non-Technical Field 980
user1788,10th Pass,Technical Skill 807,Technical Job Role 9436,Non-Technical Field 302
user1789,M.Tech,Technical Skill 546,Technical Job Role 3513,Non-Technical Field 949
user1790,B.Tech,Technical Skill 330,Technical Job Role 5194,Non-Technical Field 872
user1791,B.Tech,Technical Skill 116,Technical Job Role 6704,Non-Technical Field 978
user1792,10th Pass,Technical Skill 188,Technical Job Role 5029,Non-Technical Field 493
user1793,B.Tech,Technical Skill 633,Technical Job Role 4724,Non-Technical Field 703
user1794,M.Tech,Technical Skill 401,Technical Job Role 138,Non-Technical Field 890
user1795,12th Pass,Technical Skill 365,Technical Job Role 6669,Non-Technical Field 801
user1796,12th Pass,Technical Skill 547,Technical Job Role 6666,Non-Technical Field 507
user1797,10th Pass,Technical Skill 598,Technical Job Role 6438,Non-Technical Field 49
user1798,12th Pass,Technical Skill 210,Technical Job Role 8187,Non-Technical Field 819
user1799,10th Pass,Technical Skill 699,Technical Job Role 3565,Non-Technical Field 810
user1800,10th Pass,Technical Skill 191,Technical Job Role 1932,Non-Technical Field 551
user1801,10th Pass,Technical Skill 931,Technical Job Role 5512,Non-Technical Field 229
user1802,10th Pass,Technical Skill 682,Technical Job Role 7185,Non-Technical Field 561
user1803,B.Tech,Technical Skill 675,Technical Job Role 2965,Non-Technical Field 530
user1804,12th Pass,Technical Skill 311,Technical Job Role 3210,Non-Technical Field 559
user1805,12th Pass,Technical Skill 967,Technical Job Role 5613,Non-Technical Field 198
user1806,M.Tech,Technical Skill 467,Technical Job Role 5743,Non-Technical Field 493
user1807,M.Tech,Technical Skill 941,Technical Job Role 1114,Non-Technical Field 230
user1808,M.Tech,Technical Skill 949,Technical Job Role 277,Non-Technical Field 918
user1809,B.Tech,Technical Skill 459,Technical Job Role 3184,Non-Technical Field 375
user1810,12th Pass,Technical Skill 854,Technical Job Role 3326,Non-Technical Field 845
user1811,12th Pass,Technical Skill 279,Technical Job Role 1809,Non-Technical Field 59
user1812,10th Pass,Technical Skill 186,Technical Job Role 6225,Non-Technical Field 636
user1813,10th Pass,Technical Skill 419,Technical Job Role 7549,Non-Technical Field 300
user1814,10th Pass,Technical Skill 804,Technical Job Role 1007,Non-Technical Field 988
user1815,M.Tech,Technical Skill 684,Technical Job Role 3379,Non-Technical Field 475
user1816,B.Tech,Technical Skill 330,Technical Job Role 9774,Non-Technical Field 838
user1817,10th Pass,Technical Skill 585,Technical Job Role 6504,Non-Technical Field 220
user1818,M.Tech,Technical Skill 254,Technical Job Role 4130,Non-Technical Field 197
user1819,10th Pass,Technical Skill 219,Technical Job Role 2146,Non-Technical Field 805
user1820,M.Tech,Technical Skill 518,Technical Job Role 1419,Non-Technical Field 991
user1821,B.Tech,Technical Skill 551,Technical Job Role 7855,Non-Technical Field 509
user1822,M.Tech,Technical Skill 759,Technical Job Role 2325,Non-Technical Field 661
user1823,12th Pass,Technical Skill 910,Technical Job Role 4996,Non-Technical Field 244
user1824,12th Pass,Technical Skill 398,Technical Job Role 4305,Non-Technical Field 828
user1825,10th Pass,Technical Skill 895,Technical Job Role 6657,Non-Technical Field 770
user1826,M.Tech,Technical Skill 460,Technical Job Role 2461,Non-Technical Field 8
user1827,10th Pass,Technical Skill 749,Technical Job Role 1879,Non-Technical Field 598
user1828,B.Tech,Technical Skill 121,Technical Job Role 2169,Non-Technical Field 138
user1829,B.Tech,Technical Skill 125,Technical Job Role 6385,Non-Technical Field 142
user1830,M.Tech,Technical Skill 819,Technical Job Role 9969,Non-Technical Field 212
